CODE,PERIOD,NR_TRIPS Y,NR_TRIPS N,DatabaseReleaseDate
BJS,2020016,4419,483,20200715
CAS,2019037,2746,512,20200715
CAS,2019038,2794,519,20200715
CAS,2019039,2644,427,20200715
CAS,2019040,3035,109,20200715
CAS,2019041,2954,0,20200715
CAS,2019042,3041,1,20200715
CAS,2019043,2718,0,20200715
CAS,2019044,2692,3,20200715
CAS,2019045,2618,0,20200715
CAS,2019046,2631,1,20200715
CAS,2019047,2426,2,20200715
CAS,2019048,2647,0,20200715
CAS,2019049,2641,1,20200715
CAS,2019050,2741,3,20200715
CAS,2019051,2535,3,20200715
CAS,2019052,2405,15,20200715
CAS,2020001,2585,37,20200715
CAS,2020002,2887,43,20200715
CAS,2020003,2818,72,20200715
CAS,2020004,2825,92,20200715
CAS,2020005,3005,98,20200715
CAS,2020006,3000,120,20200715
CAS,2020007,3275,186,20200715
CAS,2020008,3157,154,20200715
CAS,2020009,3136,156,20200715
CAS,2020010,3280,183,20200715
CAS,2020011,3125,273,20200715
CAS,2020012,2362,265,20200715
CAS,2020013,1399,688,20200715
CAS,2020014,1369,923,20200715
CAS,2020015,1473,978,20200715
CAS,2020016,1458,1007,20200715
CIK,2019037,7747,161,20200715
CIK,2019038,7813,0,20200715
CIK,2019039,7681,0,20200715
CIK,2019040,8163,0,20200715
CIK,2019041,8218,0,20200715
CIK,2019042,8040,0,20200715
CIK,2019043,7984,0,20200715
CIK,2019044,7993,0,20200715
CIK,2019045,7364,0,20200715
CIK,2019046,7311,0,20200715
CIK,2019047,6837,0,20200715
CIK,2019048,7034,0,20200715
CIK,2019049,7679,0,20200715
CIK,2019050,7221,2,20200715
CIK,2019051,6789,12,20200715
CIK,2019052,6295,4,20200715
CIK,2020001,6895,4,20200715
CIK,2020002,7647,27,20200715
CIK,2020003,7214,477,20200715
CIK,2020004,7600,291,20200715
CIK,2020005,7623,194,20200715
CIK,2020006,7334,305,20200715
CIK,2020007,7154,283,20200715
CIK,2020008,7282,324,20200715
CIK,2020009,7845,348,20200715
CIK,2020010,8110,379,20200715
CIK,2020011,7654,216,20200715
CIK,2020012,6575,201,20200715
CIK,2020013,5185,255,20200715
CIK,2020014,5309,296,20200715
CIK,2020015,5365,339,20200715
CIK,2020016,5479,395,20200715
CIT,2019037,636,30,20200715
CIT,2019038,685,29,20200715
CIT,2019039,673,5,20200715
CIT,2019040,740,0,20200715
CIT,2019041,784,0,20200715
CIT,2019042,701,0,20200715
CIT,2019043,709,0,20200715
CIT,2019044,750,0,20200715
CIT,2019045,695,0,20200715
CIT,2019046,673,0,20200715
CIT,2019047,647,0,20200715
CIT,2019048,637,0,20200715
CIT,2019049,638,0,20200715
CIT,2019050,236,0,20200715
CIT,2019051,587,0,20200715
CIT,2019052,510,0,20200715
CIT,2020001,589,0,20200715
CIT,2020002,720,1,20200715
CIT,2020003,675,27,20200715
CIT,2020004,646,47,20200715
CIT,2020005,682,56,20200715
CIT,2020006,610,45,20200715
CIT,2020007,627,52,20200715
CIT,2020008,730,44,20200715
CIT,2020009,775,71,20200715
CIT,2020010,772,74,20200715
CIT,2020011,691,182,20200715
CIT,2020012,652,147,20200715
CIT,2020013,427,124,20200715
CIT,2020014,462,176,20200715
CIT,2020015,425,153,20200715
CIT,2020016,426,181,20200715
COS,2019037,19143,1036,20200715
COS,2019038,19936,180,20200715
COS,2019039,20091,160,20200715
COS,2019040,22532,204,20200715
COS,2019041,22565,219,20200715
COS,2019042,22927,204,20200715
COS,2019043,22136,164,20200715
COS,2019044,22736,210,20200715
COS,2019045,22736,172,20200715
COS,2019046,22471,238,20200715
COS,2019047,22657,201,20200715
COS,2019048,24400,85,20200715
COS,2019049,22726,34,20200715
COS,2019050,23397,111,20200715
COS,2019051,19664,2834,20200715
COS,2019052,17939,2587,20200715
COS,2020001,22534,2491,20200715
COS,2020002,24350,2841,20200715
COS,2020003,19284,3890,20200715
COS,2020004,22255,3193,20200715
COS,2020005,18739,3860,20200715
COS,2020006,23101,2420,20200715
COS,2020007,24059,2318,20200715
COS,2020008,23839,2306,20200715
COS,2020009,26296,2862,20200715
COS,2020010,27457,3009,20200715
COS,2020011,29204,4590,20200715
COS,2020012,23605,4059,20200715
COS,2020013,17415,2846,20200715
COS,2020014,16956,2931,20200715
COS,2020015,16811,3022,20200715
COS,2020016,16620,2991,20200715
CUB,2019037,931,143,20200715
CUB,2019038,945,132,20200715
CUB,2019039,863,31,20200715
CUB,2019040,1049,0,20200715
CUB,2019041,981,0,20200715
CUB,2019042,976,0,20200715
CUB,2019043,921,0,20200715
CUB,2019044,1069,0,20200715
CUB,2019045,618,0,20200715
CUB,2019046,938,0,20200715
CUB,2019047,997,0,20200715
CUB,2019048,1155,0,20200715
CUB,2019049,951,0,20200715
CUB,2019050,979,0,20200715
CUB,2019051,1003,61,20200715
CUB,2019052,1016,152,20200715
CUB,2020001,1170,123,20200715
CUB,2020002,1142,31,20200715
CUB,2020003,1065,94,20200715
CUB,2020004,951,103,20200715
CUB,2020005,983,115,20200715
CUB,2020006,1053,127,20200715
CUB,2020007,1012,124,20200715
CUB,2020008,1002,129,20200715
CUB,2020009,1038,127,20200715
CUB,2020010,1062,130,20200715
CUB,2020011,1375,295,20200715
CUB,2020012,1348,357,20200715
CUB,2020013,1002,247,20200715
CUB,2020014,1000,224,20200715
CUB,2020015,1127,264,20200715
CUB,2020016,927,215,20200715
CUM,2019037,900,22,20200715
CUM,2019038,961,27,20200715
CUM,2019039,935,3,20200715
CUM,2019040,1003,16,20200715
CUM,2019041,970,5,20200715
CUM,2019042,947,6,20200715
CUM,2019043,933,3,20200715
CUM,2019044,901,2,20200715
CUM,2019045,906,4,20200715
CUM,2019046,895,3,20200715
CUM,2019047,870,1,20200715
CUM,2019048,956,2,20200715
CUM,2019049,858,6,20200715
CUM,2019050,339,5,20200715
CUM,2019051,839,8,20200715
CUM,2019052,699,10,20200715
CUM,2020001,773,16,20200715
CUM,2020002,888,13,20200715
CUM,2020003,820,39,20200715
CUM,2020004,895,25,20200715
CUM,2020005,869,26,20200715
CUM,2020006,791,34,20200715
CUM,2020007,879,32,20200715
CUM,2020008,853,31,20200715
CUM,2020009,797,40,20200715
CUM,2020010,832,48,20200715
CUM,2020011,788,105,20200715
CUM,2020012,640,82,20200715
CUM,2020013,293,203,20200715
CUM,2020014,278,282,20200715
CUM,2020015,246,284,20200715
CUM,2020016,267,287,20200715
CVS,2019037,11055,593,20200715
CVS,2019038,11128,410,20200715
CVS,2019039,11096,172,20200715
CVS,2019040,11262,213,20200715
CVS,2019041,12021,201,20200715
CVS,2019042,11815,193,20200715
CVS,2019043,11905,221,20200715
CVS,2019044,12271,230,20200715
CVS,2019045,12622,243,20200715
CVS,2019046,12115,216,20200715
CVS,2019047,11808,242,20200715
CVS,2019048,11958,228,20200715
CVS,2019049,12675,232,20200715
CVS,2019050,12834,259,20200715
CVS,2019051,13648,237,20200715
CVS,2019052,13895,209,20200715
CVS,2020001,11859,196,20200715
CVS,2020002,12495,234,20200715
CVS,2020003,12384,239,20200715
CVS,2020004,12467,204,20200715
CVS,2020005,12281,242,20200715
CVS,2020006,12643,260,20200715
CVS,2020007,14140,304,20200715
CVS,2020008,12346,272,20200715
CVS,2020009,12221,277,20200715
CVS,2020010,13475,340,20200715
CVS,2020011,14886,532,20200715
CVS,2020012,14416,408,20200715
CVS,2020013,10753,343,20200715
CVS,2020014,13077,1347,20200715
CVS,2020015,14146,1747,20200715
CVS,2020016,14035,1685,20200715
DOL,2019037,33323,6,20200715
DOL,2019038,33347,2,20200715
DOL,2019039,34144,3,20200715
DOL,2019040,37927,8,20200715
DOL,2019041,38326,4,20200715
DOL,2019042,36115,3,20200715
DOL,2019043,37084,4,20200715
DOL,2019044,40075,1,20200715
